date,time,state,cases
30/01/2020,6:00 PM,Kerala,1
31/01/2020,6:00 PM,Kerala,1
01/02/2020,6:00 PM,Kerala,2
02/02/2020,6:00 PM,Kerala,3
03/02/2020,6:00 PM,Kerala,3
04/02/2020,6:00 PM,Kerala,3
05/02/2020,6:00 PM,Kerala,3
06/02/2020,6:00 PM,Kerala,3
07/02/2020,6:00 PM,Kerala,3
08/02/2020,6:00 PM,Kerala,3
09/02/2020,6:00 PM,Kerala,3
10/02/2020,6:00 PM,Kerala,3
11/02/2020,6:00 PM,Kerala,3
12/02/2020,6:00 PM,Kerala,3
13/02/2020,6:00 PM,Kerala,3
14/02/2020,6:00 PM,Kerala,3
15/02/2020,6:00 PM,Kerala,3
16/02/2020,6:00 PM,Kerala,3
17/02/2020,6:00 PM,Kerala,3
18/02/2020,6:00 PM,Kerala,3
19/02/2020,6:00 PM,Kerala,3
20/02/2020,6:00 PM,Kerala,3
21/02/2020,6:00 PM,Kerala,3
22/02/2020,6:00 PM,Kerala,3
23/02/2020,6:00 PM,Kerala,3
24/02/2020,6:00 PM,Kerala,3
25/02/2020,6:00 PM,Kerala,3
26/02/2020,6:00 PM,Kerala,3
27/02/2020,6:00 PM,Kerala,3
28/02/2020,6:00 PM,Kerala,3
29/02/2020,6:00 PM,Kerala,3
01/03/2020,6:00 PM,Kerala,3
02/03/2020,6:00 PM,Telengana,1
02/03/2020,6:00 PM,Kerala,3
02/03/2020,6:00 PM,Delhi,1
03/03/2020,6:00 PM,Telengana,1
03/03/2020,6:00 PM,Rajasthan,1
03/03/2020,6:00 PM,Kerala,3
03/03/2020,6:00 PM,Delhi,1
04/03/2020,6:00 PM,Uttar Pradesh,6
04/03/2020,6:00 PM,Kerala,3
04/03/2020,6:00 PM,Haryana,2
04/03/2020,6:00 PM,Delhi,1
04/03/2020,6:00 PM,Telengana,1
04/03/2020,6:00 PM,Rajasthan,15
05/03/2020,6:00 PM,Delhi,2
05/03/2020,6:00 PM,Haryana,2
05/03/2020,6:00 PM,Kerala,3
05/03/2020,6:00 PM,Rajasthan,15
05/03/2020,6:00 PM,Telengana,1
05/03/2020,6:00 PM,Uttar Pradesh,7
06/03/2020,6:00 PM,Delhi,3
06/03/2020,6:00 PM,Haryana,2
06/03/2020,6:00 PM,Kerala,3
06/03/2020,6:00 PM,Rajasthan,15
06/03/2020,6:00 PM,Uttar Pradesh,7
06/03/2020,6:00 PM,Telengana,1
07/03/2020,6:00 PM,Kerala,3
07/03/2020,6:00 PM,Uttar Pradesh,7
07/03/2020,6:00 PM,Ladakh,2
07/03/2020,6:00 PM,Telengana,1
07/03/2020,6:00 PM,Tamil Nadu,1
07/03/2020,6:00 PM,Delhi,3
07/03/2020,6:00 PM,Haryana,2
07/03/2020,6:00 PM,Rajasthan,15
08/03/2020,6:00 PM,Ladakh,2
08/03/2020,6:00 PM,Telengana,1
08/03/2020,6:00 PM,Tamil Nadu,1
08/03/2020,6:00 PM,Rajasthan,15
08/03/2020,6:00 PM,Kerala,8
08/03/2020,6:00 PM,Haryana,2
08/03/2020,6:00 PM,Delhi,3
08/03/2020,6:00 PM,Uttar Pradesh,7
09/03/2020,6:00 PM,Ladakh,2
09/03/2020,6:00 PM,Karnataka,1
09/03/2020,6:00 PM,Kerala,9
09/03/2020,6:00 PM,Maharashtra,2
09/03/2020,6:00 PM,Punjab,1
09/03/2020,6:00 PM,Rajasthan,15
09/03/2020,6:00 PM,Tamil Nadu,1
09/03/2020,6:00 PM,Telengana,1
09/03/2020,6:00 PM,Jammu and Kashmir,1
09/03/2020,6:00 PM,Uttar Pradesh,7
09/03/2020,6:00 PM,Haryana,2
09/03/2020,6:00 PM,Delhi,4
10/03/2020,6:00 PM,Uttar Pradesh,7
10/03/2020,6:00 PM,Ladakh,2
10/03/2020,6:00 PM,Delhi,4
10/03/2020,6:00 PM,Haryana,2
10/03/2020,6:00 PM,Karnataka,4
10/03/2020,6:00 PM,Kerala,15
10/03/2020,6:00 PM,Maharashtra,5
10/03/2020,6:00 PM,Punjab,1
10/03/2020,6:00 PM,Rajasthan,15
10/03/2020,6:00 PM,Tamil Nadu,1
10/03/2020,6:00 PM,Telengana,1
10/03/2020,6:00 PM,Jammu and Kashmir,1
11/03/2020,6:00 PM,Maharashtra,2
11/03/2020,6:00 PM,Delhi,5
11/03/2020,6:00 PM,Haryana,14
11/03/2020,6:00 PM,Kerala,17
11/03/2020,6:00 PM,Rajasthan,3
11/03/2020,6:00 PM,Telengana,1
11/03/2020,6:00 PM,Uttar Pradesh,9
11/03/2020,6:00 PM,Ladakh,2
11/03/2020,6:00 PM,Tamil Nadu,1
11/03/2020,6:00 PM,Jammu and Kashmir,1
11/03/2020,6:00 PM,Punjab,1
11/03/2020,6:00 PM,Karnataka,4
12/03/2020,6:00 PM,Delhi,6
12/03/2020,6:00 PM,Haryana,14
12/03/2020,6:00 PM,Kerala,17
12/03/2020,6:00 PM,Rajasthan,3
12/03/2020,6:00 PM,Telengana,1
12/03/2020,6:00 PM,Uttar Pradesh,11
12/03/2020,6:00 PM,Ladakh,3
12/03/2020,6:00 PM,Tamil Nadu,1
12/03/2020,6:00 PM,Jammu and Kashmir,1
12/03/2020,6:00 PM,Punjab,1
12/03/2020,6:00 PM,Karnataka,4
12/03/2020,6:00 PM,Maharashtra,11
12/03/2020,6:00 PM,Andhra Pradesh,1
13/03/2020,6:00 PM,Delhi,6
13/03/2020,6:00 PM,Haryana,14
13/03/2020,6:00 PM,Kerala,19
13/03/2020,6:00 PM,Rajasthan,3
13/03/2020,6:00 PM,Telengana,1
13/03/2020,6:00 PM,Uttar Pradesh,11
13/03/2020,6:00 PM,Ladakh,3
13/03/2020,6:00 PM,Tamil Nadu,1
13/03/2020,6:00 PM,Jammu and Kashmir,1
13/03/2020,6:00 PM,Punjab,1
13/03/2020,6:00 PM,Karnataka,6
13/03/2020,6:00 PM,Maharashtra,14
13/03/2020,6:00 PM,Andhra Pradesh,1
14/03/2020,6:00 PM,Delhi,7
14/03/2020,6:00 PM,Haryana,14
14/03/2020,6:00 PM,Kerala,19
14/03/2020,6:00 PM,Rajasthan,3
14/03/2020,6:00 PM,Telengana,1
14/03/2020,6:00 PM,Uttar Pradesh,12
14/03/2020,6:00 PM,Ladakh,3
14/03/2020,6:00 PM,Tamil Nadu,1
14/03/2020,6:00 PM,Jammu and Kashmir,2
14/03/2020,6:00 PM,Punjab,1
14/03/2020,6:00 PM,Karnataka,6
14/03/2020,6:00 PM,Maharashtra,14
14/03/2020,6:00 PM,Andhra Pradesh,1
15/03/2020,6:00 PM,Andhra Pradesh,1
15/03/2020,6:00 PM,Delhi,7
15/03/2020,6:00 PM,Haryana,14
15/03/2020,6:00 PM,Karnataka,6
15/03/2020,6:00 PM,Kerala,22
15/03/2020,6:00 PM,Maharashtra,32
15/03/2020,6:00 PM,Punjab,1
15/03/2020,6:00 PM,Rajasthan,4
15/03/2020,6:00 PM,Tamil Nadu,1
15/03/2020,6:00 PM,Telengana,3
15/03/2020,6:00 PM,Jammu and Kashmir,2
15/03/2020,6:00 PM,Ladakh,3
15/03/2020,6:00 PM,Uttar Pradesh,13
15/03/2020,6:00 PM,Uttarakhand,1
16/03/2020,6:00 PM,Andhra Pradesh,1
16/03/2020,6:00 PM,Delhi,7
16/03/2020,6:00 PM,Haryana,14
16/03/2020,6:00 PM,Karnataka,6
16/03/2020,6:00 PM,Kerala,23
16/03/2020,6:00 PM,Maharashtra,32
16/03/2020,6:00 PM,Odisha,1
16/03/2020,6:00 PM,Punjab,1
16/03/2020,6:00 PM,Rajasthan,4
16/03/2020,6:00 PM,Tamil Nadu,1
16/03/2020,6:00 PM,Telengana,3
16/03/2020,6:00 PM,Jammu and Kashmir,3
16/03/2020,6:00 PM,Ladakh,4
16/03/2020,6:00 PM,Uttar Pradesh,13
16/03/2020,6:00 PM,Uttarakhand,1
17/03/2020,6:00 PM,Andhra Pradesh,1
17/03/2020,6:00 PM,Delhi,8
17/03/2020,6:00 PM,Haryana,15
17/03/2020,6:00 PM,Karnataka,11
17/03/2020,6:00 PM,Kerala,26
17/03/2020,6:00 PM,Maharashtra,39
17/03/2020,6:00 PM,Odisha,1
17/03/2020,6:00 PM,Punjab,1
17/03/2020,6:00 PM,Rajasthan,4
17/03/2020,6:00 PM,Tamil Nadu,1
17/03/2020,6:00 PM,Telengana,5
17/03/2020,6:00 PM,Jammu and Kashmir,3
17/03/2020,6:00 PM,Ladakh,6
17/03/2020,6:00 PM,Uttar Pradesh,15
17/03/2020,6:00 PM,Uttarakhand,1
18/03/2020,6:00 PM,Andhra Pradesh,1
18/03/2020,6:00 PM,Delhi,10
18/03/2020,6:00 PM,Haryana,17
18/03/2020,6:00 PM,Karnataka,11
18/03/2020,6:00 PM,Kerala,27
18/03/2020,6:00 PM,Maharashtra,42
18/03/2020,6:00 PM,Odisha,1
18/03/2020,6:00 PM,Puducherry,1
18/03/2020,6:00 PM,Punjab,1
18/03/2020,6:00 PM,Rajasthan,4
18/03/2020,6:00 PM,Tamil Nadu,1
18/03/2020,6:00 PM,Telengana,6
18/03/2020,6:00 PM,Jammu and Kashmir,3
18/03/2020,6:00 PM,Ladakh,8
18/03/2020,6:00 PM,Uttar Pradesh,16
18/03/2020,6:00 PM,Uttarakhand,1
18/03/2020,6:00 PM,West Bengal,1
19/03/2020,6:00 PM,Andhra Pradesh,2
19/03/2020,6:00 PM,Chhattisgarh,1
19/03/2020,6:00 PM,Delhi,12
19/03/2020,6:00 PM,Haryana,17
19/03/2020,6:00 PM,Karnataka,14
19/03/2020,6:00 PM,Kerala,27
19/03/2020,6:00 PM,Maharashtra,47
19/03/2020,6:00 PM,Odisha,1
19/03/2020,6:00 PM,Puducherry,1
19/03/2020,6:00 PM,Punjab,2
19/03/2020,6:00 PM,Rajasthan,7
19/03/2020,6:00 PM,Tamil Nadu,2
19/03/2020,6:00 PM,Telengana,6
19/03/2020,6:00 PM,Chandigarh,1
19/03/2020,6:00 PM,Jammu and Kashmir,4
19/03/2020,6:00 PM,Ladakh,8
19/03/2020,6:00 PM,Uttar Pradesh,19
19/03/2020,6:00 PM,Uttarakhand,1
19/03/2020,6:00 PM,West Bengal,1
20/03/2020,6:00 PM,Andhra Pradesh,3
20/03/2020,6:00 PM,Chhattisgarh,1
20/03/2020,6:00 PM,Delhi,17
20/03/2020,6:00 PM,Gujarat,5
20/03/2020,6:00 PM,Haryana,17
20/03/2020,6:00 PM,Karnataka,15
20/03/2020,6:00 PM,Kerala,28
20/03/2020,6:00 PM,Maharashtra,52
20/03/2020,6:00 PM,Odisha,2
20/03/2020,6:00 PM,Puducherry,1
20/03/2020,6:00 PM,Punjab,2
20/03/2020,6:00 PM,Rajasthan,17
20/03/2020,6:00 PM,Tamil Nadu,3
20/03/2020,6:00 PM,Telengana,17
20/03/2020,6:00 PM,Chandigarh,1
20/03/2020,6:00 PM,Jammu and Kashmir,4
20/03/2020,6:00 PM,Ladakh,10
20/03/2020,6:00 PM,Uttar Pradesh,23
20/03/2020,6:00 PM,Uttarakhand,3
20/03/2020,6:00 PM,West Bengal,2
21/03/2020,6:00 PM,Andhra Pradesh,3
21/03/2020,6:00 PM,Chhattisgarh,1
21/03/2020,6:00 PM,Delhi,26
21/03/2020,6:00 PM,Gujarat,7
21/03/2020,6:00 PM,Haryana,17
21/03/2020,6:00 PM,Himachal Pradesh,2
21/03/2020,6:00 PM,Karnataka,15
21/03/2020,6:00 PM,Kerala,40
21/03/2020,6:00 PM,Madhya Pradesh,4
21/03/2020,6:00 PM,Maharashtra,63
21/03/2020,6:00 PM,Odisha,2
21/03/2020,6:00 PM,Puducherry,1
21/03/2020,6:00 PM,Punjab,13
21/03/2020,6:00 PM,Rajasthan,17
21/03/2020,6:00 PM,Tamil Nadu,3
21/03/2020,6:00 PM,Telengana,21
21/03/2020,6:00 PM,Chandigarh,1
21/03/2020,6:00 PM,Jammu and Kashmir,4
21/03/2020,6:00 PM,Ladakh,13
21/03/2020,6:00 PM,Uttar Pradesh,24
21/03/2020,6:00 PM,Uttarakhand,3
21/03/2020,6:00 PM,West Bengal,3
22/03/2020,6:00 PM,Andhra Pradesh,5
22/03/2020,6:00 PM,Bihar,2
22/03/2020,6:00 PM,Chhattisgarh,1
22/03/2020,6:00 PM,Delhi,29
22/03/2020,6:00 PM,Gujarat,18
22/03/2020,6:00 PM,Haryana,21
22/03/2020,6:00 PM,Himachal Pradesh,2
22/03/2020,6:00 PM,Karnataka,26
22/03/2020,6:00 PM,Kerala,52
22/03/2020,6:00 PM,Madhya Pradesh,4
22/03/2020,6:00 PM,Maharashtra,67
22/03/2020,6:00 PM,Odisha,2
22/03/2020,6:00 PM,Puducherry,1
22/03/2020,6:00 PM,Punjab,21
22/03/2020,6:00 PM,Rajasthan,24
22/03/2020,6:00 PM,Tamil Nadu,7
22/03/2020,6:00 PM,Telengana,22
22/03/2020,6:00 PM,Chandigarh,5
22/03/2020,6:00 PM,Jammu and Kashmir,4
22/03/2020,6:00 PM,Ladakh,13
22/03/2020,6:00 PM,Uttar Pradesh,27
22/03/2020,6:00 PM,Uttarakhand,3
22/03/2020,6:00 PM,West Bengal,4
23/03/2020,6:00 PM,Andhra Pradesh,7
23/03/2020,6:00 PM,Bihar,2
23/03/2020,6:00 PM,Chhattisgarh,1
23/03/2020,6:00 PM,Delhi,29
23/03/2020,6:00 PM,Gujarat,29
23/03/2020,6:00 PM,Haryana,26
23/03/2020,6:00 PM,Himachal Pradesh,2
23/03/2020,6:00 PM,Karnataka,33
23/03/2020,6:00 PM,Kerala,67
23/03/2020,6:00 PM,Madhya Pradesh,6
23/03/2020,6:00 PM,Maharashtra,74
23/03/2020,6:00 PM,Odisha,2
23/03/2020,6:00 PM,Puducherry,1
23/03/2020,6:00 PM,Punjab,21
23/03/2020,6:00 PM,Rajasthan,28
23/03/2020,6:00 PM,Tamil Nadu,9
23/03/2020,6:00 PM,Telengana,32
23/03/2020,6:00 PM,Chandigarh,6
23/03/2020,6:00 PM,Jammu and Kashmir,4
23/03/2020,6:00 PM,Ladakh,13
23/03/2020,6:00 PM,Uttar Pradesh,31
23/03/2020,6:00 PM,Uttarakhand,3
23/03/2020,6:00 PM,West Bengal,7
24/03/2020,6:00 PM,Andhra Pradesh,8
24/03/2020,6:00 PM,Bihar,3
