"COMMON.NAME","SP.CATEGORY","M.YEAR","SE.LINK","PRED.LINK","ITERATION"
"House Crow","U",2018,1.49793498034759,-0.90025168262634,1
"House Crow","U",2019,1.47785179865896,-0.90353299336088,1
"House Crow","U",2020,1.55242846802088,-1.07059109989878,1
"House Crow","U",2021,1.56142632623217,-1.08873373025314,1
"Common Myna","U",2018,1.46688809287497,-0.778775339322668,1
"Common Myna","U",2019,1.4038054152412,-0.672404546765877,1
"Common Myna","U",2020,1.47221585550472,-0.790449451693203,1
"Common Myna","U",2021,1.43146031164959,-0.740738952035393,1
"Jungle Myna","U",2018,2.61650758198868,-2.91573418019836,1
"Jungle Myna","U",2019,2.56951432789758,-2.93622850635556,1
"Jungle Myna","U",2020,2.56415178938861,-2.98505852314326,1
"Jungle Myna","U",2021,2.56008594164844,-2.88719769515737,1
"Rock Pigeon","U",2018,1.60032951519385,-1.17344937695816,1
"Rock Pigeon","U",2019,1.60859884697057,-1.12168182673814,1
"Rock Pigeon","U",2020,1.62896682791226,-1.15648571343713,1
"Rock Pigeon","U",2021,1.58244105027137,-1.11985395411126,1
"Black Kite","U",2018,2.05595949345214,-1.99230633115351,1
"Black Kite","U",2019,2.07452044188829,-2.04954630747662,1
"Black Kite","U",2020,2.11879509500119,-2.13158603083316,1
"Black Kite","U",2021,2.12880532556106,-2.10419840616721,1
"Common Tailorbird","U",2018,1.96619387031824,-1.7742344394171,1
"Common Tailorbird","U",2019,1.88455379783667,-1.65293492334327,1
"Common Tailorbird","U",2020,1.88074244816864,-1.57968636156215,1
"Common Tailorbird","U",2021,1.88631896341592,-1.60155397602185,1
"Rose-ringed Parakeet","U",2018,1.68203691525204,-1.34661277271666,1
"Rose-ringed Parakeet","U",2019,1.67384508626329,-1.28678944797406,1
"Rose-ringed Parakeet","U",2020,1.6643404594992,-1.27900062686886,1
"Rose-ringed Parakeet","U",2021,1.67974144294891,-1.2828853651125,1
"Asian Koel","U",2018,1.94149463045765,-1.68286476957432,1
"Asian Koel","U",2019,1.9618343473449,-1.6573394715642,1
"Asian Koel","U",2020,1.936845934588,-1.6086618593105,1
"Asian Koel","U",2021,1.90865267967367,-1.60544584778478,1
"Purple Sunbird","U",2018,1.95146856827591,-1.73625750729621,1
"Purple Sunbird","U",2019,1.90698293948343,-1.62761494162673,1
"Purple Sunbird","U",2020,1.92948738018096,-1.59183445848672,1
"Purple Sunbird","U",2021,1.94044699283358,-1.68160419700889,1
"Pale-billed Flowerpecker","U",2018,2.6085235341888,-3.04111299939598,1
"Pale-billed Flowerpecker","U",2019,2.59684538403666,-3.0213324816073,1
"Pale-billed Flowerpecker","U",2020,2.63899211427098,-3.11321061710461,1
"Pale-billed Flowerpecker","U",2021,2.56670332468908,-3.03602452645634,1
"White-cheeked Barbet","U",2018,2.37868608649697,-2.51170959805058,1
"White-cheeked Barbet","U",2019,2.38822246441604,-2.53661456196278,1
"White-cheeked Barbet","U",2020,2.36624405895869,-2.50974805462758,1
"White-cheeked Barbet","U",2021,2.39055343069998,-2.52476989832596,1
"Green Bee-eater","R",2018,1.81279970192948,-1.46959390139235,1
"Green Bee-eater","R",2019,1.83986394773663,-1.4756262626608,1
"Green Bee-eater","R",2020,1.80637486992432,-1.42859540271124,1
"Green Bee-eater","R",2021,1.83408215307712,-1.44911240670019,1
"Black Drongo","R",2018,1.58808975319005,-1.07170020996495,1
"Black Drongo","R",2019,1.59834664632473,-1.09928611352086,1
"Black Drongo","R",2020,1.59298258040906,-1.0799230808569,1
"Black Drongo","R",2021,1.56952032423598,-1.0426694575637,1
"Pied Bushchat","R",2018,2.49066659747213,-2.86964084908358,1
"Pied Bushchat","R",2019,2.48637259913207,-2.80105075426559,1
"Pied Bushchat","R",2020,2.49005509103314,-2.81779323642776,1
"Pied Bushchat","R",2021,2.51892527202726,-2.87750694172611,1
"Plain Prinia","R",2018,2.56031386274832,-2.88766931939107,1
"Plain Prinia","R",2019,2.51307248265111,-2.79823209981526,1
"Plain Prinia","R",2020,2.47528052816952,-2.75880990389853,1
"Plain Prinia","R",2021,2.48006324790508,-2.80575117049908,1
"Indian Robin","R",2018,1.97353975295897,-1.81415695956604,1
"Indian Robin","R",2019,1.94971725837407,-1.73311523454059,1
"Indian Robin","R",2020,1.9316111256387,-1.71851313907479,1
"Indian Robin","R",2021,1.94677246805963,-1.73974220713101,1
"House Sparrow","R",2018,1.75681656815936,-1.42100424173952,1
"House Sparrow","R",2019,1.76244784513366,-1.35815617203933,1
"House Sparrow","R",2020,1.79778573738198,-1.45301709588343,1
"House Sparrow","R",2021,1.85820490720111,-1.55598788676172,1
"Spotted Dove","R",2018,1.87190114203479,-1.5659684418493,1
"Spotted Dove","R",2019,1.82837982696353,-1.48934453329097,1
"Spotted Dove","R",2020,1.77370554796677,-1.46783226418807,1
"Spotted Dove","R",2021,1.77901903695403,-1.43702714120571,1
"Coppersmith Barbet","R",2018,2.29853787457773,-2.35452615564004,1
"Coppersmith Barbet","R",2019,2.29501836109022,-2.33775220835192,1
"Coppersmith Barbet","R",2020,2.27127763018357,-2.33860946344986,1
"Coppersmith Barbet","R",2021,2.34121986487739,-2.41986666894755,1
"Black-winged Kite","R",2018,2.47440569746874,-2.74371378152871,1
"Black-winged Kite","R",2019,2.53783216184625,-2.89930565440465,1
"Black-winged Kite","R",2020,2.47722712712807,-2.80398018297775,1
"Black-winged Kite","R",2021,2.45776209140466,-2.79038017836515,1
"Small Minivet","R",2018,2.82133329312823,-3.4505583410372,1
"Small Minivet","R",2019,2.76783200780623,-3.42147052308017,1
"Small Minivet","R",2020,2.76276030723843,-3.40800948078986,1
"Small Minivet","R",2021,2.77940359731403,-3.40142050135833,1
"Long-tailed Shrike","R",2018,2.54567942835243,-2.82695893376707,1
"Long-tailed Shrike","R",2019,2.62984877622959,-2.88862253601057,1
"Long-tailed Shrike","R",2020,2.59161149814008,-2.81416122251681,1
"Long-tailed Shrike","R",2021,2.5649023832983,-2.85537570023411,1
"Gray Francolin","R",2018,2.21268335324678,-2.30429854251412,1
"Gray Francolin","R",2019,2.19261370798871,-2.27868899546301,1
"Gray Francolin","R",2020,2.18811040393897,-2.27647398849583,1
"Gray Francolin","R",2021,2.19649245822474,-2.26277241433456,1
"White-throated Kingfisher","R",2018,1.7089497187726,-1.32939300574778,1
"White-throated Kingfisher","R",2019,1.73363430882504,-1.33732893590033,1
"White-throated Kingfisher","R",2020,1.69343193654884,-1.28838240255876,1
"White-throated Kingfisher","R",2021,1.62380882547789,-1.22217895360246,1
"Black-rumped Flameback","R",2018,2.58293043461147,-2.96751162436782,1
"Black-rumped Flameback","R",2019,2.4864096706607,-2.82399238207861,1
"Black-rumped Flameback","R",2020,2.49839564366493,-2.85325728468785,1
"Black-rumped Flameback","R",2021,2.47603315567643,-2.80107012105629,1
"Rufous Treepie","R",2018,2.05551024917163,-1.98236215512274,1
"Rufous Treepie","R",2019,2.04894453869973,-1.97920963498421,1
"Rufous Treepie","R",2020,2.01305518749164,-1.95835071178002,1
"Rufous Treepie","R",2021,2.04138275362123,-2.01773404906895,1
"Blue-throated Barbet","U",2018,2.21222339106933,-2.18625769713782,1
"Blue-throated Barbet","U",2019,2.21288960708702,-2.15350891786226,1
"Blue-throated Barbet","U",2020,2.19063073604891,-2.1450836858669,1
"Blue-throated Barbet","U",2021,2.22249438928008,-2.16934561418812,1
"House Crow","U",2018,1.49980810032219,-0.904134165592867,10
"House Crow","U",2019,1.49886117486916,-0.952119857395014,10
"House Crow","U",2020,1.59271358493853,-1.06625695822708,10
"House Crow","U",2021,1.55838983463973,-1.05607176237007,10
"Common Myna","U",2018,1.44523991523718,-0.746573944840461,10
"Common Myna","U",2019,1.38480384305031,-0.680918500606212,10
"Common Myna","U",2020,1.44048833001304,-0.763671642125829,10
"Common Myna","U",2021,1.42571585023449,-0.759423997080602,10
"Jungle Myna","U",2018,2.58178282049525,-2.9352568112349,10
"Jungle Myna","U",2019,2.59135300415197,-2.92422430571874,10
"Jungle Myna","U",2020,2.57505949040489,-2.99835870593294,10
"Jungle Myna","U",2021,2.56850720821204,-2.91109838650494,10
"Rock Pigeon","U",2018,1.59542606104834,-1.17696756060612,10
"Rock Pigeon","U",2019,1.57322026235267,-1.10695179692707,10
"Rock Pigeon","U",2020,1.61737507297953,-1.16687121519545,10
"Rock Pigeon","U",2021,1.59051344075925,-1.12155988449292,10
"Black Kite","U",2018,2.05582485591235,-1.99798281006791,10
"Black Kite","U",2019,2.08822265237502,-2.03434459027738,10
"Black Kite","U",2020,2.12262676931987,-2.11429635606446,10
"Black Kite","U",2021,2.09594522648314,-2.08008700773899,10
"Common Tailorbird","U",2018,1.94543143700982,-1.75501200190801,10
"Common Tailorbird","U",2019,1.8765746961701,-1.6157227976848,10
"Common Tailorbird","U",2020,1.85316014293906,-1.57470620303735,10
"Common Tailorbird","U",2021,1.86571927147635,-1.585548765032,10
"Rose-ringed Parakeet","U",2018,1.71863906553967,-1.35342256652363,10
"Rose-ringed Parakeet","U",2019,1.67595747950148,-1.29391208096874,10
"Rose-ringed Parakeet","U",2020,1.67091764399749,-1.27868179061768,10
"Rose-ringed Parakeet","U",2021,1.69113829534116,-1.26470380840421,10
"Asian Koel","U",2018,1.93628481518084,-1.67760448828577,10
"Asian Koel","U",2019,1.94720199832956,-1.63187037313162,10
"Asian Koel","U",2020,1.90790089466731,-1.59453292411768,10
"Asian Koel","U",2021,1.92144947277788,-1.60740715609403,10
"Purple Sunbird","U",2018,1.97727543365987,-1.74112230649132,10
"Purple Sunbird","U",2019,1.91435798573071,-1.63952751332963,10
"Purple Sunbird","U",2020,1.87988864519881,-1.58479024445196,10
"Purple Sunbird","U",2021,1.92094065237528,-1.66755972120634,10
"Pale-billed Flowerpecker","U",2018,2.60961136561085,-3.07024195209657,10
"Pale-billed Flowerpecker","U",2019,2.58923648868773,-3.03586710668661,10
"Pale-billed Flowerpecker","U",2020,2.66730377258566,-3.13411432593634,10
"Pale-billed Flowerpecker","U",2021,2.60916558686137,-3.06200488668903,10
"White-cheeked Barbet","U",2018,2.35529198706192,-2.49231946394468,10
"White-cheeked Barbet","U",2019,2.36732948309592,-2.5246320858753,10
"White-cheeked Barbet","U",2020,2.3555145365482,-2.50955061299559,10
"White-cheeked Barbet","U",2021,2.38020374845797,-2.47560199604073,10
"Green Bee-eater","R",2018,1.81503915147508,-1.47092779164513,10
"Green Bee-eater","R",2019,1.86383674430462,-1.52660410531337,10
"Green Bee-eater","R",2020,1.8249413530038,-1.42235585808843,10
"Green Bee-eater","R",2021,1.83181739670681,-1.48167002562079,10
"Black Drongo","R",2018,1.58333611792075,-1.05369227472755,10
"Black Drongo","R",2019,1.5897035957587,-1.12195801887187,10
"Black Drongo","R",2020,1.58675686696804,-1.07542030762136,10
"Black Drongo","R",2021,1.57573651892333,-1.01810087659589,10
"Pied Bushchat","R",2018,2.49976613225446,-2.83290187247333,10
"Pied Bushchat","R",2019,2.46768867502496,-2.79077615868037,10
"Pied Bushchat","R",2020,2.46818667989805,-2.79345268933705,10
"Pied Bushchat","R",2021,2.52932787099783,-2.86795416099448,10
"Plain Prinia","R",2018,2.56595139313229,-2.86878742522557,10
"Plain Prinia","R",2019,2.48001099029632,-2.78884272692287,10
"Plain Prinia","R",2020,2.46265694514632,-2.75701217941833,10
"Plain Prinia","R",2021,2.5058954456497,-2.78982091119627,10
"Indian Robin","R",2018,1.96221518989061,-1.79383855919688,10
"Indian Robin","R",2019,1.94388999451848,-1.76171463207285,10
"Indian Robin","R",2020,1.92293014361322,-1.68695578617769,10
"Indian Robin","R",2021,1.94959298824552,-1.77335702668058,10
"House Sparrow","R",2018,1.77694105498691,-1.42212980370858,10
