"COMMON.NAME","SP.CATEGORY","M.YEAR","SE.LINK","PRED.LINK","ITERATION"
"House Crow","U",2018,1.54489866006387,-0.82707168562916,1
"House Crow","U",2019,1.46755238636183,-0.836124728774618,1
"House Crow","U",2020,1.58758520517233,-1.02734145079171,1
"House Crow","U",2021,1.54653942406213,-0.999330310998374,1
"Common Myna","U",2018,1.34106395924776,-0.561339440097511,1
"Common Myna","U",2019,1.29412853543947,-0.473551495388556,1
"Common Myna","U",2020,1.46093289950566,-0.577674721189376,1
"Common Myna","U",2021,1.30001417039383,-0.542722853741183,1
"Jungle Myna","U",2018,2.32360116589612,-2.51257617293503,1
"Jungle Myna","U",2019,2.31960694192932,-2.54496808403284,1
"Jungle Myna","U",2020,2.41836507914652,-2.6464296311445,1
"Jungle Myna","U",2021,2.34799329754161,-2.60548682836072,1
"Rock Pigeon","U",2018,1.53545251433005,-1.06396290528843,1
"Rock Pigeon","U",2019,1.43970979184676,-0.854679736697788,1
"Rock Pigeon","U",2020,1.59741159676578,-1.00829777733496,1
"Rock Pigeon","U",2021,1.58330906753553,-1.04674293705221,1
"Black Kite","U",2018,1.94255048117386,-1.84848219991588,1
"Black Kite","U",2019,1.94603618468282,-1.82112360232873,1
"Black Kite","U",2020,2.0669175755534,-1.92482637578111,1
"Black Kite","U",2021,2.08482037196922,-1.91187899427492,1
"Common Tailorbird","U",2018,1.97181567955134,-1.71083607064296,1
"Common Tailorbird","U",2019,1.75372917155294,-1.39094742793701,1
"Common Tailorbird","U",2020,1.87886934122025,-1.43827357791559,1
"Common Tailorbird","U",2021,1.87051340307704,-1.54229758822405,1
"Rose-ringed Parakeet","U",2018,1.72052671259811,-1.32192199854524,1
"Rose-ringed Parakeet","U",2019,1.66362377337498,-1.059805845221,1
"Rose-ringed Parakeet","U",2020,1.72269583901431,-1.28575273550186,1
"Rose-ringed Parakeet","U",2021,1.73243424061119,-1.30852072923704,1
"Asian Koel","U",2018,1.65755333525286,-1.02685548699949,1
"Asian Koel","U",2019,1.4833019110071,-0.84439409326984,1
"Asian Koel","U",2020,1.59662139965403,-0.942243800895114,1
"Asian Koel","U",2021,1.59561254909573,-1.06378179499045,1
"Purple Sunbird","U",2018,1.76269825605352,-1.31156660959366,1
"Purple Sunbird","U",2019,1.66860998826971,-1.05348804688561,1
"Purple Sunbird","U",2020,1.62186483463932,-1.15335499696875,1
"Purple Sunbird","U",2021,1.83992863831446,-1.30328675478046,1
"Pale-billed Flowerpecker","U",2018,2.62428902867627,-3.00929968732708,1
"Pale-billed Flowerpecker","U",2019,2.50504012774846,-2.87058048990423,1
"Pale-billed Flowerpecker","U",2020,2.55912759366854,-2.99787950041818,1
"Pale-billed Flowerpecker","U",2021,2.59319972546598,-2.98907718821842,1
"White-cheeked Barbet","U",2018,1.98622056659069,-1.76812918477171,1
"White-cheeked Barbet","U",2019,1.89474192793269,-1.60712951643007,1
"White-cheeked Barbet","U",2020,1.89136497571618,-1.67041489899881,1
"White-cheeked Barbet","U",2021,1.90524404656466,-1.62238298994176,1
"Green Bee-eater","R",2018,1.89611479035643,-1.50888480601723,1
"Green Bee-eater","R",2019,1.89506408919947,-1.69193728089595,1
"Green Bee-eater","R",2020,1.79942802995963,-1.52167901434723,1
"Green Bee-eater","R",2021,1.83163963774979,-1.56226739906415,1
"Black Drongo","R",2018,1.62743135213736,-1.17442847092734,1
"Black Drongo","R",2019,1.74394160982015,-1.29833888478687,1
"Black Drongo","R",2020,1.69203922938421,-1.17569489868461,1
"Black Drongo","R",2021,1.62117846426505,-1.13800050650702,1
"Pied Bushchat","R",2018,2.41724674776748,-2.73659834107091,1
"Pied Bushchat","R",2019,2.39540373849031,-2.62124425425703,1
"Pied Bushchat","R",2020,2.38393141252023,-2.71019368325071,1
"Pied Bushchat","R",2021,2.55686872021727,-2.76027831708146,1
"Plain Prinia","R",2018,2.73645915406882,-3.33537264223683,1
"Plain Prinia","R",2019,2.74173170694842,-3.26086542371516,1
"Plain Prinia","R",2020,2.65399434978131,-3.16575537392683,1
"Plain Prinia","R",2021,2.76436340664802,-3.27206906411201,1
"Indian Robin","R",2018,1.72462357766763,-1.47945979041745,1
"Indian Robin","R",2019,1.75502455916473,-1.42787755964104,1
"Indian Robin","R",2020,1.75747959037223,-1.34712640941403,1
"Indian Robin","R",2021,1.77632019826296,-1.46159359083079,1
"House Sparrow","R",2018,1.69134247158826,-1.3420899180091,1
"House Sparrow","R",2019,1.56235829161784,-0.952002702857249,1
"House Sparrow","R",2020,1.68389232211532,-1.25361838566073,1
"House Sparrow","R",2021,1.86183495563587,-1.51720954401305,1
"Spotted Dove","R",2018,1.80292418513404,-1.45371515920523,1
"Spotted Dove","R",2019,1.75040762460056,-1.35959507882238,1
"Spotted Dove","R",2020,1.77364631347996,-1.39143452001207,1
"Spotted Dove","R",2021,1.69124405660626,-1.38327035912567,1
"Coppersmith Barbet","R",2018,1.95150527212913,-1.9092420648987,1
"Coppersmith Barbet","R",2019,1.89892084319665,-1.85465547829006,1
"Coppersmith Barbet","R",2020,2.04139466025233,-1.95191730459389,1
"Coppersmith Barbet","R",2021,2.17784604296674,-2.08562372855202,1
"Black-winged Kite","R",2018,2.73031409690971,-3.2302668942397,1
"Black-winged Kite","R",2019,2.72109860881935,-3.38007131423572,1
"Black-winged Kite","R",2020,2.69554409931073,-3.19961847423621,1
"Black-winged Kite","R",2021,2.66968873378543,-3.22797598701569,1
