"COMMON.NAME","SP.CATEGORY","M.YEAR","SE.LINK","PRED.LINK","ITERATION"
"House Crow","U",2018,1.60502264928761,-1.03332043488242,1
"House Crow","U",2019,1.63214616848417,-1.09151521271729,1
"House Crow","U",2020,1.68072786771662,-1.2587444042171,1
"House Crow","U",2021,1.68083425380907,-1.26555671287339,1
"Common Myna","U",2018,1.41473963734128,-0.717718556640462,1
"Common Myna","U",2019,1.39021882082713,-0.644886943236775,1
"Common Myna","U",2020,1.385971916292,-0.71847986264493,1
"Common Myna","U",2021,1.41560852379577,-0.708356836269162,1
"Jungle Myna","U",2018,1.90672790434615,-1.64752257194824,1
"Jungle Myna","U",2019,1.89631772104633,-1.70944443532164,1
"Jungle Myna","U",2020,1.92509901958938,-1.76299786577083,1
"Jungle Myna","U",2021,1.90993154123812,-1.69835469429043,1
"Rock Pigeon","U",2018,1.65008704685694,-1.22074105570787,1
"Rock Pigeon","U",2019,1.65623222480092,-1.15458048726032,1
"Rock Pigeon","U",2020,1.64956403870066,-1.18607635466471,1
"Rock Pigeon","U",2021,1.63210857777941,-1.19669419256987,1
"Black Kite","U",2018,1.95924124900022,-1.77184145912065,1
"Black Kite","U",2019,1.9463954902424,-1.77690648330354,1
"Black Kite","U",2020,1.97754214635752,-1.86869767286166,1
"Black Kite","U",2021,2.00382206907956,-1.87604293182487,1
"Common Tailorbird","U",2018,1.73896674253968,-1.28627721446997,1
"Common Tailorbird","U",2019,1.67273255976152,-1.2122371970078,1
"Common Tailorbird","U",2020,1.68379258551695,-1.19407917133901,1
"Common Tailorbird","U",2021,1.66070198753508,-1.19443910569539,1
"Rose-ringed Parakeet","U",2018,1.69041727201423,-1.26020715206469,1
"Rose-ringed Parakeet","U",2019,1.64379932384631,-1.21114928507711,1
"Rose-ringed Parakeet","U",2020,1.63685475248943,-1.21417244002581,1
"Rose-ringed Parakeet","U",2021,1.65983411596108,-1.171747343859,1
"Asian Koel","U",2018,1.76966975790823,-1.32572393852285,1
"Asian Koel","U",2019,1.82749246981254,-1.34030604722031,1
"Asian Koel","U",2020,1.76188052319464,-1.30970429461198,1
"Asian Koel","U",2021,1.78583605531811,-1.35487328639614,1
"Purple Sunbird","U",2018,1.90583934221963,-1.59018685652779,1
"Purple Sunbird","U",2019,1.9137196446735,-1.57536954253658,1
"Purple Sunbird","U",2020,1.91165287492519,-1.53850665532772,1
"Purple Sunbird","U",2021,1.90889858205054,-1.49969568924771,1
"White-cheeked Barbet","U",2018,1.74189428419813,-1.30613842690469,1
"White-cheeked Barbet","U",2019,1.75345405752287,-1.38197170312287,1
"White-cheeked Barbet","U",2020,1.74001493392373,-1.33205486267248,1
"White-cheeked Barbet","U",2021,1.72467162307421,-1.299483925971,1
"Green Bee-eater","R",2018,1.55986382525304,-0.873409081534696,1
"Green Bee-eater","R",2019,1.52353299933138,-0.785105850551143,1
"Green Bee-eater","R",2020,1.47149619354578,-0.656636693733248,1
"Green Bee-eater","R",2021,1.46858546937601,-0.696087951456885,1
"Black Drongo","R",2018,1.76829038481969,-1.18931630712599,1
"Black Drongo","R",2019,1.82033446083666,-1.31245058627009,1
"Black Drongo","R",2020,1.74891497372891,-1.14297778313324,1
"Black Drongo","R",2021,1.69101813979633,-1.05511888639083,1
"Pied Bushchat","R",2018,1.94412450001318,-1.77534391604418,1
"Pied Bushchat","R",2019,1.88702653390203,-1.59478113029407,1
"Pied Bushchat","R",2020,1.86749083736197,-1.58694258511982,1
"Pied Bushchat","R",2021,1.87083692474355,-1.66949364212323,1
"Plain Prinia","R",2018,2.5663731083796,-2.80501279906255,1
"Plain Prinia","R",2019,2.46469847779868,-2.63229725269472,1
"Plain Prinia","R",2020,2.48859898535943,-2.67860888598716,1
"Plain Prinia","R",2021,2.57230243199208,-2.76665895727648,1
"Indian Robin","R",2018,2.09669945178493,-1.94658307656932,1
"Indian Robin","R",2019,1.96328096938705,-1.83735517024149,1
"Indian Robin","R",2020,1.9359486830701,-1.73120156613063,1
"Indian Robin","R",2021,1.9157670908432,-1.70289640793024,1
"House Sparrow","R",2018,1.9853709261706,-1.83368095414726,1
"House Sparrow","R",2019,1.99314368983753,-1.76600997500009,1
"House Sparrow","R",2020,2.01987514927058,-1.81979887358887,1
"House Sparrow","R",2021,2.06785113860931,-1.97824785582131,1
"Spotted Dove","R",2018,1.61448446291041,-1.04290443550308,1
"Spotted Dove","R",2019,1.56123672481642,-0.904467398114812,1
"Spotted Dove","R",2020,1.51158109067571,-0.835193421330948,1
"Spotted Dove","R",2021,1.51397999897165,-0.832744485056872,1
"Coppersmith Barbet","R",2018,2.18733978757609,-2.16279085871231,1
"Coppersmith Barbet","R",2019,2.19581124752237,-2.17823920174909,1
"Coppersmith Barbet","R",2020,2.24548310093648,-2.19781238248753,1
"Coppersmith Barbet","R",2021,2.33237008605896,-2.30675424302266,1
"Black-winged Kite","R",2018,2.63139149818719,-2.91604649930566,1
"Black-winged Kite","R",2019,2.66076610746291,-3.03201497709333,1
"Black-winged Kite","R",2020,2.52277141874871,-2.72763516510772,1
"Black-winged Kite","R",2021,2.44498128060635,-2.66355024031493,1
"Small Minivet","R",2018,2.64673786701867,-3.06278242532398,1
"Small Minivet","R",2019,2.64472837745206,-3.02271526389742,1
"Small Minivet","R",2020,2.61148290684295,-2.94595128301592,1
"Small Minivet","R",2021,2.57538429752286,-2.96719690082291,1
"Long-tailed Shrike","R",2018,2.46553766568176,-2.64596030193051,1
"Long-tailed Shrike","R",2019,2.62859487947015,-2.8792126566057,1
"Long-tailed Shrike","R",2020,2.46038899038306,-2.67315586005383,1
"Long-tailed Shrike","R",2021,2.49447844389207,-2.67052681092175,1
"Gray Francolin","R",2018,2.20620141558885,-2.25992323220639,1
"Gray Francolin","R",2019,2.20450699730562,-2.19325710980306,1
"Gray Francolin","R",2020,2.18453424573606,-2.1867504127072,1
"Gray Francolin","R",2021,2.19921267978953,-2.19897338234079,1
"House Crow","U",2018,1.58020225033714,-1.02699380154519,10
"House Crow","U",2019,1.62420063545945,-1.10474911765158,10
"House Crow","U",2020,1.67826605867453,-1.24444227943816,10
"House Crow","U",2021,1.67393932877392,-1.27211616448747,10
"Common Myna","U",2018,1.42089614173046,-0.745025890472903,10
"Common Myna","U",2019,1.41147689324864,-0.691757579012912,10
"Common Myna","U",2020,1.40156059232061,-0.711937174822665,10
"Common Myna","U",2021,1.39937002219131,-0.715259609948461,10
"Jungle Myna","U",2018,1.93335995602552,-1.64998465912194,10
"Jungle Myna","U",2019,1.8898465011086,-1.7024877491961,10
"Jungle Myna","U",2020,1.94771248115292,-1.77645643760446,10
"Jungle Myna","U",2021,1.91397544261512,-1.71631176491192,10
"Rock Pigeon","U",2018,1.63486839520864,-1.22637734629038,10
"Rock Pigeon","U",2019,1.65083972923872,-1.19574741772656,10
"Rock Pigeon","U",2020,1.62942302300965,-1.21203471467746,10
"Rock Pigeon","U",2021,1.63955130494817,-1.21247789630598,10
"Black Kite","U",2018,1.96121397288693,-1.78350432247481,10
"Black Kite","U",2019,1.96144246379876,-1.8167232603934,10
"Black Kite","U",2020,1.99806175630664,-1.89968974089793,10
"Black Kite","U",2021,2.00274081270626,-1.87251570693903,10
"Common Tailorbird","U",2018,1.74730025079675,-1.28805882346732,10
"Common Tailorbird","U",2019,1.66700823045357,-1.19167398749194,10
"Common Tailorbird","U",2020,1.69136186331535,-1.194854787849,10
"Common Tailorbird","U",2021,1.66075036987209,-1.19666142324867,10
"Rose-ringed Parakeet","U",2018,1.68800196003204,-1.25490634173283,10
"Rose-ringed Parakeet","U",2019,1.68163722195309,-1.24181132950488,10
"Rose-ringed Parakeet","U",2020,1.67237683675101,-1.19281107507505,10
"Rose-ringed Parakeet","U",2021,1.65483873081783,-1.2017031718305,10
"Asian Koel","U",2018,1.76488675638045,-1.27850525439438,10
"Asian Koel","U",2019,1.81087510329889,-1.32180464418852,10
"Asian Koel","U",2020,1.7612381477945,-1.28701427955154,10
"Asian Koel","U",2021,1.74406121516186,-1.32586666190402,10
"Purple Sunbird","U",2018,1.94224642644906,-1.59792615968862,10
"Purple Sunbird","U",2019,1.90596743066792,-1.54937294319289,10
"Purple Sunbird","U",2020,1.92960710209801,-1.55187062201629,10
"Purple Sunbird","U",2021,1.91974273078823,-1.53511624994671,10
"Pale-billed Flowerpecker","U",2018,2.24622334123568,-2.3991464091753,10
"Pale-billed Flowerpecker","U",2019,2.26685151857425,-2.35585212551712,10
"Pale-billed Flowerpecker","U",2020,2.30405382264252,-2.48922734437902,10
"Pale-billed Flowerpecker","U",2021,2.27153368802851,-2.40072243580743,10
"White-cheeked Barbet","U",2018,1.72918517904326,-1.28456688569676,10
"White-cheeked Barbet","U",2019,1.72045994778212,-1.32920263895476,10
"White-cheeked Barbet","U",2020,1.75194550354251,-1.33764242023718,10
"White-cheeked Barbet","U",2021,1.71072625869931,-1.283012620728,10
"Green Bee-eater","R",2018,1.54163265363646,-0.84656094252974,10
"Green Bee-eater","R",2019,1.4989434056578,-0.744039602500153,10
"Green Bee-eater","R",2020,1.44531748032566,-0.625760170916353,10
"Green Bee-eater","R",2021,1.47787617760754,-0.684822336997439,10
"Black Drongo","R",2018,1.75611034451048,-1.18413023782916,10
"Black Drongo","R",2019,1.84810132193187,-1.32565396797196,10
"Black Drongo","R",2020,1.76767471638379,-1.14158927486015,10
"Black Drongo","R",2021,1.69748052490365,-1.07954753475606,10
"Pied Bushchat","R",2018,1.96323858818502,-1.74378921410553,10
"Pied Bushchat","R",2019,1.9209107791226,-1.65111689293537,10
"Pied Bushchat","R",2020,1.84792600411204,-1.58526627299151,10
"Pied Bushchat","R",2021,1.89312867016901,-1.66842622488972,10
"Plain Prinia","R",2018,2.62091022251372,-2.75793224709167,10
"Plain Prinia","R",2019,2.44573717966028,-2.62528383837181,10
"Plain Prinia","R",2020,2.452063021506,-2.63908875565119,10
"Plain Prinia","R",2021,2.58823890510145,-2.78749245147998,10
"Indian Robin","R",2018,2.05364292131618,-1.94230775706226,10
"Indian Robin","R",2019,1.96353696499897,-1.82996409571755,10
"Indian Robin","R",2020,1.91387088400691,-1.71457277871996,10
"Indian Robin","R",2021,1.92876160248284,-1.74619697220378,10
"House Sparrow","R",2018,2.01321508347521,-1.82736481487287,10
"House Sparrow","R",2019,2.0162246784572,-1.79855614292894,10
"House Sparrow","R",2020,2.008478144692,-1.84526625583623,10
"House Sparrow","R",2021,2.099399134035,-2.02869082478935,10
"Spotted Dove","R",2018,1.63532845335648,-1.04921880716456,10
"Spotted Dove","R",2019,1.56088784776674,-0.930726230795827,10
"Spotted Dove","R",2020,1.51600057531216,-0.866675535859873,10
"Spotted Dove","R",2021,1.54977974814134,-0.88643751174159,10
"Coppersmith Barbet","R",2018,2.1949380689058,-2.15489810426282,10
"Coppersmith Barbet","R",2019,2.21440567362723,-2.20597118029032,10
"Coppersmith Barbet","R",2020,2.24907869397774,-2.20618122732578,10
"Coppersmith Barbet","R",2021,2.34395615658767,-2.33938207325518,10
"Black-winged Kite","R",2018,2.64879388934893,-2.95566197678149,10
"Black-winged Kite","R",2019,2.68268441724133,-3.06271982210133,10
"Black-winged Kite","R",2020,2.55204268336556,-2.78405426504244,10
"Black-winged Kite","R",2021,2.43745039200948,-2.66170135628527,10
"Small Minivet","R",2018,2.60539228147147,-2.98118438065456,10
"Small Minivet","R",2019,2.61693293581669,-2.9888773147221,10
"Small Minivet","R",2020,2.59218124936205,-2.93138402823205,10
"Small Minivet","R",2021,2.61113863617146,-2.93909557760895,10
"Long-tailed Shrike","R",2018,2.48401452232005,-2.67452782166004,10
"Long-tailed Shrike","R",2019,2.67841967487788,-2.91091969948056,10
"Long-tailed Shrike","R",2020,2.44401675845758,-2.63949177655461,10
"Long-tailed Shrike","R",2021,2.50602891059098,-2.69964494484518,10
"Gray Francolin","R",2018,2.16285516812931,-2.13948224930336,10
"Gray Francolin","R",2019,2.18601651513676,-2.15448540355137,10
"Gray Francolin","R",2020,2.14093399018617,-2.08866483481577,10
"Gray Francolin","R",2021,2.12133406527256,-2.07735881130027,10
"House Crow","U",2018,1.5920848238654,-1.03680819017167,100
