"COMMON.NAME","SP.CATEGORY","M.YEAR","SE.LINK","PRED.LINK","ITERATION"
"House Crow","U",2018,1.41320662058051,-0.714491097397046,1
"House Crow","U",2019,1.43187035098284,-0.784110242664401,1
"House Crow","U",2020,1.54724173780968,-0.969938265181898,1
"House Crow","U",2021,1.5469244022356,-1.04781060115452,1
"Common Myna","U",2018,1.82400946802296,-1.46800780773655,1
"Common Myna","U",2019,1.73307373452262,-1.38177092230133,1
"Common Myna","U",2020,1.84720182480759,-1.49860910655144,1
"Common Myna","U",2021,1.75671114627276,-1.38343578338294,1
"Jungle Myna","U",2018,3.11750035271883,-3.93188431490799,1
"Jungle Myna","U",2019,3.13208900601077,-3.91343742169248,1
"Jungle Myna","U",2020,3.17195552493966,-4.01574115583213,1
"Jungle Myna","U",2021,3.06220470455939,-3.79364682974063,1
"Rock Pigeon","U",2018,1.9470348794097,-1.76580598792884,1
"Rock Pigeon","U",2019,1.95842087234106,-1.83143555549575,1
"Rock Pigeon","U",2020,1.99672598116425,-1.89832922660537,1
"Rock Pigeon","U",2021,1.95175249122738,-1.8255772471079,1
"Black Kite","U",2018,2.72410621828451,-3.10986670589091,1
"Black Kite","U",2019,2.8031624060717,-3.22071307912064,1
"Black Kite","U",2020,2.97538170735853,-3.41166892163974,1
"Black Kite","U",2021,2.99274189507605,-3.45704211897778,1
"Common Tailorbird","U",2018,2.01434139026885,-1.831943077593,1
"Common Tailorbird","U",2019,1.90281219902095,-1.69504273333531,1
"Common Tailorbird","U",2020,1.95733059001364,-1.70468090241321,1
"Common Tailorbird","U",2021,1.93034628631927,-1.69646371625145,1
"Rose-ringed Parakeet","U",2018,2.50738834985057,-2.91466258611152,1
"Rose-ringed Parakeet","U",2019,2.50699124764202,-2.82374407227935,1
"Rose-ringed Parakeet","U",2020,2.49905077703541,-2.8218596095359,1
"Rose-ringed Parakeet","U",2021,2.42958356799749,-2.77297923231545,1
"Asian Koel","U",2018,2.26932831601974,-2.21703105607415,1
"Asian Koel","U",2019,2.26452655041466,-2.14462264344472,1
"Asian Koel","U",2020,2.17278583968139,-2.08357028509178,1
"Asian Koel","U",2021,2.13746540699632,-2.06001993745577,1
"Purple Sunbird","U",2018,2.85343588741833,-3.3314673782247,1
"Purple Sunbird","U",2019,2.67572721662461,-3.02354146249516,1
