"COMMON.NAME","SP.CATEGORY","M.YEAR","SE.LINK","PRED.LINK","ITERATION"
"House Crow","U",2018,1.29905414978469,-0.583010638653896,1
"House Crow","U",2019,1.27906814259176,-0.539450953977732,1
"House Crow","U",2020,1.40270910164139,-0.787397536030701,1
"House Crow","U",2021,1.46412617427227,-0.774210496396837,1
"Common Myna","U",2018,1.5556078793911,-1.11649619974862,1
"Common Myna","U",2019,1.48980483783665,-0.956285906880344,1
"Common Myna","U",2020,1.61436155594479,-1.02418574596841,1
"Common Myna","U",2021,1.54605226053177,-1.07350854754896,1
"Jungle Myna","U",2018,2.74933511801108,-3.35683327064361,1
"Jungle Myna","U",2019,3.07811922912334,-3.82559051080397,1
"Jungle Myna","U",2020,2.92221818545494,-3.61943270539767,1
"Jungle Myna","U",2021,2.79912591780916,-3.47230066489519,1
"Rock Pigeon","U",2018,1.90098665427665,-1.58190637600156,1
"Rock Pigeon","U",2019,1.91976141521678,-1.72095525190609,1
"Rock Pigeon","U",2020,1.85045612296636,-1.65954499462409,1
"Rock Pigeon","U",2021,1.87855155307809,-1.69123556299776,1
"Black Kite","U",2018,2.51507072035037,-2.63954016673746,1
"Black Kite","U",2019,2.89203821552887,-3.01022865718659,1
"Black Kite","U",2020,2.79033488370395,-2.91005423901362,1
"Black Kite","U",2021,2.87661502435694,-3.13319098654203,1
"Common Tailorbird","U",2018,2.06216449915758,-1.73060142214683,1
"Common Tailorbird","U",2019,1.72071207329296,-1.35961145444197,1
"Common Tailorbird","U",2020,2.09640366431304,-1.52525416921716,1
"Common Tailorbird","U",2021,2.11317668279707,-1.5441569611708,1
"Rose-ringed Parakeet","U",2018,2.45505964378068,-2.7668025042412,1
"Rose-ringed Parakeet","U",2019,2.32797257654145,-2.5068242121873,1
"Rose-ringed Parakeet","U",2020,2.54963619965976,-2.5498442267285,1
"Rose-ringed Parakeet","U",2021,2.43211940960221,-2.63924644288182,1
"Asian Koel","U",2018,2.07086206898438,-1.62094721335761,1
"Asian Koel","U",2019,2.11955521923318,-1.43070622652074,1
"Asian Koel","U",2020,1.93482824531306,-1.52575672612204,1
"Asian Koel","U",2021,2.17623875188217,-1.87787842113822,1
"Purple Sunbird","U",2018,2.88485557816596,-3.42069420427424,1
"Purple Sunbird","U",2019,2.92616634683837,-3.09815692368031,1
"Purple Sunbird","U",2020,3.15198868968002,-3.47294091976043,1
"Purple Sunbird","U",2021,2.85399507789935,-3.57799196407024,1
"Pale-billed Flowerpecker","U",2018,2.46016026304795,-2.72096089123453,1
"Pale-billed Flowerpecker","U",2019,2.26211534461458,-2.34315895306463,1
"Pale-billed Flowerpecker","U",2020,2.43097014296465,-2.69350973252909,1
"Pale-billed Flowerpecker","U",2021,2.47744202386521,-2.66523061962581,1
"White-cheeked Barbet","U",2018,1.42208420329012,-0.721403474531779,1
"White-cheeked Barbet","U",2019,1.35724703938248,-0.451626017918693,1
"White-cheeked Barbet","U",2020,1.26894144811288,-0.580646129165338,1
"White-cheeked Barbet","U",2021,1.27882696721221,-0.559714565636845,1
"Green Bee-eater","R",2018,2.65853673390941,-2.92493756646083,1
"Green Bee-eater","R",2019,2.84356231729357,-3.26194963284582,1
"Green Bee-eater","R",2020,2.65525380055248,-3.20774558385538,1
"Green Bee-eater","R",2021,2.5905062752397,-2.93208433438235,1
"Black Drongo","R",2018,2.15940998809533,-1.95390996354239,1
"Black Drongo","R",2019,2.05379395635212,-1.95842540806218,1
"Black Drongo","R",2020,2.08310828140078,-2.07705711304045,1
"Black Drongo","R",2021,2.07135816280068,-1.88069496149158,1
"Plain Prinia","R",2018,3.88714853404666,-5.14846253467679,1
"Plain Prinia","R",2019,4.91438830705967,-5.55402501125028,1
"Plain Prinia","R",2020,3.9238121127841,-5.51278420249143,1
"Plain Prinia","R",2021,3.94023446713191,-5.11152139882619,1
"Indian Robin","R",2018,3.67155299100918,-4.81738638734924,1
"Indian Robin","R",2019,3.90100445652932,-5.02939710069282,1
"Indian Robin","R",2020,3.7125448363828,-4.92704101716359,1
"Indian Robin","R",2021,3.59653353832592,-4.87624266898733,1
"House Sparrow","R",2018,2.98773799550021,-3.61836967595055,1
"House Sparrow","R",2019,2.95892612774246,-3.43691821680783,1
"House Sparrow","R",2020,3.46708716159175,-4.05118485293457,1
"House Sparrow","R",2021,3.35551886376472,-4.08755649358132,1
"Spotted Dove","R",2018,2.72232676931206,-2.97755033375697,1
"Spotted Dove","R",2019,2.64342659294052,-2.92771538982322,1
"Spotted Dove","R",2020,2.56580771063618,-2.83504741295962,1
"Spotted Dove","R",2021,2.59734902051564,-2.93503474333268,1
"Coppersmith Barbet","R",2018,3.55136500950118,-4.32289788273249,1
"Coppersmith Barbet","R",2019,3.0631819192669,-3.78267580376554,1
"Coppersmith Barbet","R",2020,3.45595521708586,-4.31125508365794,1
"Coppersmith Barbet","R",2021,3.33627185772966,-4.23287537866493,1
"White-throated Kingfisher","R",2018,1.66187624874467,-1.34834376731858,1
"White-throated Kingfisher","R",2019,1.81744948154667,-1.29148573200698,1
"White-throated Kingfisher","R",2020,1.8393290214955,-1.29391171176572,1
"White-throated Kingfisher","R",2021,1.87263609547986,-1.15727179311483,1
