date,state,tot_doses,doses,dose1,dose2,tot_ind
16/01/2021,India,48276,48276,48276,0,48276
17/01/2021,India,58604,10328,58604,0,58604
18/01/2021,India,99449,40845,99449,0,99449
19/01/2021,India,195525,96076,195525,0,195525
20/01/2021,India,251280,55755,251280,0,251280
21/01/2021,India,365965,114685,365965,0,365965
22/01/2021,India,549381,183416,549381,0,549381
23/01/2021,India,759008,209627,759008,0,759008
24/01/2021,India,835058,76050,835058,0,835058
25/01/2021,India,1277104,442046,1277104,0,1277104
26/01/2021,India,1293784,16680,1293784,0,1293784
27/01/2021,India,1726490,432706,1726490,0,1726490
28/01/2021,India,2295491,569001,2295491,0,2295491
29/01/2021,India,2814803,519312,2814803,0,2814803
30/01/2021,India,3067736,252933,3067736,0,3067736
31/01/2021,India,3127107,59371,3127107,0,3127107
01/02/2021,India,3350265,223158,3350265,0,3350265
02/02/2021,India,3527971,177706,3527971,0,3527971
03/02/2021,India,3825835,297864,3825835,0,3825835
04/02/2021,India,4314304,488469,4314304,0,4314304
05/02/2021,India,4765924,451620,4765924,0,4765924
06/02/2021,India,5111827,345903,5111827,0,5111827
07/02/2021,India,5168099,56272,5168099,0,5168099
08/02/2021,India,5615499,447400,5615499,0,5615499
09/02/2021,India,6002474,386975,6002474,0,6002474
10/02/2021,India,6462270,459796,6462270,0,6462270
11/02/2021,India,6958553,496283,6958553,0,6958553
12/02/2021,India,7423817,465264,7423817,0,7423817
13/02/2021,India,7708211,284394,7687352,20859,7687352
14/02/2021,India,7732278,24067,7710367,21911,7710367
15/02/2021,India,8253651,521373,8111162,142489,8111162
16/02/2021,India,8577226,323575,8337600,239626,8337600
17/02/2021,India,9023239,446013,8704698,318541,8704698
18/02/2021,India,9338267,315028,8862491,475776,8862491
19/02/2021,India,10241508,903241,9523567,717941,9523567
20/02/2021,India,10619113,377605,9734505,884608,9734505
21/02/2021,India,10651012,31899,9757217,893795,9757217
22/02/2021,India,11243679,592667,10069263,1174416,10069263
23/02/2021,India,11597768,354089,10288293,1309475,10288293
24/02/2021,India,12042958,445190,10517568,1525390,10517568
25/02/2021,India,12819074,776116,10846192,1972882,10846192
