S.NO,OBSERVER.ID,FULL.NAME,GA.1,GA.2,JUSTIFICATION
1,obsr969053,Birdwatchers' Society of Bengal,0,1,Data otherwise not on eBird but multiple observers
2,obsr714818,EaGh Project,0,1,Data otherwise not on eBird but multiple observers
3,obsr1861874,Sikkim Historical,0,1,
4,obsr1379629,Published Records,0,1,
5,obsr1001939,Indian Rarities (Proxy Account),0,1,
6,obsr981814,Kasargod Birders (Group Account),0,1,Data otherwise not on eBird but multiple observers
7,obsr1775526,Salem Ornithological Records,0,1,
8,obsr445600,Kerala Birder (Group Account),1,0,
9,obsr1791765,Pakistan Historical  Records,0,1,
10,obsr964974,Bangalore Birds Historical Data,0,1,
11,obsr547126,BSAP GroupAccount,1,0,
12,obsr642636,MigrantWatch (group account),0,1,Multiple observers
13,obsr773853,Tamilbirds (Group Account),1,0,
14,obsr916847,TN Vernay Scientific Survey of the Eastern Ghats,0,1,Data otherwise not on eBird but multiple observers
15,obsr1160830,Netherlands Karakoram Expedition (Group Account),0,1,Data otherwise not on eBird but multiple observers
16,obsr641959,BR Hills Historical Data,0,1,
17,obsr965035,Bandipur Historical Data,0,1,
18,obsr965029,Ranganathittu Historical Data,0,1,
19,obsr965036,Nandi Hills Historical Data,0,1,
20,obsr965038,Devarayanadurga Namadachilume Historical Data,0,1,
21,obsr966506,Ahmednagar Birding Pals,1,0,
22,obsr1426731,Maurice Broun (Historical Records),0,0,"Data otherwise not on eBird, single observer"
23,obsr798511,Michael Spencer (historical data),0,0,"Data otherwise not on eBird, single observer"
24,obsr1157993,Southampton Univeristy Ladakh Expedition 1976-82 (Group Account),0,1,Data otherwise not on eBird but multiple observers
25,obsr1238579,Kalpavriksh (Group Account),0,1,Data otherwise not on eBird but multiple observers
26,obsr845684,AWC Kerala,1,0,
27,obsr450476,Bird Observers Club of Australia,1,0,
28,obsr984043,Flamingo  Records,0,1,
29,obsr1364394,Maan Barua Historical Data,0,0,This is a single observer's data
30,obsr553458,Bird Spot (Group Account),0,1,Data otherwise not on eBird but multiple observers
31,obsr1222231,Vembanad Bird Count (Group Account),1,0,
32,obsr1042371,Pune Rarities and Uncommoners (proxy account),0,1,
33,obsr560629,Dead Birds India,0,1,
34,obsr30444,Bird Explorers,1,0,
35,obsr228178,Eduardo Navarro (Albatross Birding Chile),0,0,Bird tours but single observer
36,obsr1299699,Aralam  Bird Survey,1,0,
37,obsr771867,Birdwatchers Kerala (Group Account),1,0,
38,obsr756005,Bng Liocichlas (Group Account),1,0,
39,obsr2508648,Gauhati Birds,1,0,
40,obsr519426,Anonymous ebirder,0,0,
41,obsr535008,Facebook Birders,0,1,Data otherwise not on eBird but multiple observers
42,obsr508506,Horacio Matarasso /  Buenos Días Birding,0,0,Bird tours but single observer
43,obsr1028100,e bird,1,0,
44,obsr1080510,Laughingthrush Song Recording Project,1,0,
45,obsr759040,Supaporn Teamwong,0,0,
46,obsr524613,Kaiga Bird Marathon,1,0,
47,obsr638917,Ezhupunna Birders (group account) ,1,0,
48,obsr2188005,Western Ghats Wildlife Conservation Trust WGWCT,1,0,
49,obsr678030,Baalpandi Birder,0,0,
50,obsr507368,SGPGI Birding,1,0,
51,obsr465574,Instituteofbirdstudies Rishivalley,1,0,
52,obsr436534,TheNatureTrust (GroupAccount),1,0,
53,obsr383823,Sree Birder,0,0,
54,obsr537714,The Bhubaneswar Bird Walks TBBW,1,0,
55,obsr485413,Santosh   Kumar Thakur ( Wildlifer) ,0,0,
56,obsr347583,Whitehawk Birding and Conservation,1,0,
57,obsr1972534,Nature Conservation Society  Nashik,1,0,
58,obsr559159,Marta Curti whitehawkbirding.com,0,0,Bird tours but single observer
59,obsr576429,Wildon trust trust,1,0,
60,obsr566817,Manipal Birders (Group Account),1,0,
61,obsr1418400,Asian waterfowl census Pathanamthitta,1,0,
62,obsr611967,Coimbatore Nature Society,1,0,
63,obsr492319,Big Bird Day Arunachal Pradesh,1,0,
64,obsr471466,Big Bird Day India,1,0,
65,obsr458624,BBD2015  GA-007,1,0,
66,obsr483948,Bird Count India,1,0,
67,obsr488654,Tiger Club,1,0,
68,obsr490255,Big Bird Day Maharastra,1,0,
69,obsr452068,bhopal birds,1,0,
70,obsr488624,Rotti Kadai School,1,0,
71,obsr496458,BeulaSchool Valparai,1,0,
72,obsr488638,Ropeway School,1,0,
73,obsr441292,Auroville Birds,1,0,
74,obsr477701,Birdman Balpandi,0,0,
75,obsr518753,Melagiri Birding,1,0,
76,obsr846108,iNaturewatch Foundation,1,0,
77,obsr492320,Big Bird Day West Bengal,1,0,
78,obsr949737,Salem Ornithological Foundation (Group Account),1,0,
79,obsr422442,Troy Blodgett,0,0,
80,obsr1196810,AWC India,1,0,
81,obsr54079,Kirk Huffstater,0,0,
82,obsr543017,Great Indian Birding Trip,1,0,
83,obsr548074,Suhel TestAccount,1,0,
84,obsr802969,Hyderabad  Birding Pals,1,0,
85,obsr831754,Kole Birders (Group Account),1,0,
86,obsr725426,Chaatak Nature Conservation Society,1,0,
87,obsr574029,FreeBirds UK,1,0,
88,obsr584618,birdsong song,1,0,
89,obsr560680,Tribal Foundation Nagarcoil,1,0,
90,obsr559076,Nature Society of Tirupur Tirupur,1,0,
91,obsr598197,Tezpur University Biodiversity Club,1,0,
92,obsr579240,Chowgule Birders,1,0,
93,obsr584846,foundation for ecological security Group,1,0,
94,obsr578751,Christ  University,1,0,
95,obsr569416,NSS College Nilamel (Group Account),1,0,
96,obsr598069,Sanskriti School,1,0,
97,obsr589464,nyass trust,1,0,
